date,joshteam,otherteam,player,link
3.29.23,Knicks,Heat,Jimmy Butler,https://streamable.com/43cqo6
1.22.23,Blazers,Lakers,Damian Lillard,https://www.youtube.com/shorts/ekrd6nfADjc
1.29.21,Pelicans,Bucks,Brook Lopez,https://twitter.com/Bucks/status/1355310464272637958
7.22.20,Pelicans,Nets,Lonzo Ball,https://streamable.com/e6fypi
2.13.20,Pelicans,Thunder,Zion Williamson,https://streamable.com/xhxyn
10.12.19,Pelicans,Jazz,Zion Williamson,https://twitter.com/joshhart/status/1183110365539983360
1.11.19,Lakers,Jazz,Brandon Ingram,https://streamable.com/y79mj
12.11.18,Lakers,Heat,Lebron James,https://twitter.com/joshhart/status/1072575052879667200
11.18.18,Lakers,Heat,Kentavious Caldwell-Pope,https://streamable.com/60an2
10.22.18,Lakers,Spurs,Lance Stephenson,https://streamable.com/nw40h
2.4.18,Lakers,Thunder,Julius Randle,https://twitter.com/joshhart/status/960279918369263616
1.7.18,Lakers,Hawks,Kyle Kuzma,https://streamable.com/vk8qu
10.22.17,Lakers,Pelicans,Julius Randle,https://twitter.com/NBA_NewYork/status/1623547678583042050
